Date,Month,Year,pagecount_all_views,pagecount_desktop_views,pagecount_mobile_views,pageview_all_views,pageview_desktop_views,pageview_mobile_views
01/2008,01,2008,4930902570,4930902570,,,,
02/2008,02,2008,4818393763,4818393763,,,,
03/2008,03,2008,4955405809,4955405809,,,,
04/2008,04,2008,5159162183,5159162183,,,,
05/2008,05,2008,5584691092,5584691092,,,,
06/2008,06,2008,5712104279,5712104279,,,,
07/2008,07,2008,5306302874,5306302874,,,,
08/2008,08,2008,5140155519,5140155519,,,,
09/2008,09,2008,5479533823,5479533823,,,,
10/2008,10,2008,5679440782,5679440782,,,,
11/2008,11,2008,5415832071,5415832071,,,,
12/2008,12,2008,5211708451,5211708451,,,,
01/2009,01,2009,5802681551,5802681551,,,,
02/2009,02,2009,5547320860,5547320860,,,,
03/2009,03,2009,6295159057,6295159057,,,,
04/2009,04,2009,5988817321,5988817321,,,,
05/2009,05,2009,6267516733,6267516733,,,,
06/2009,06,2009,5818924182,5818924182,,,,
07/2009,07,2009,5801646978,5801646978,,,,
08/2009,08,2009,5790850384,5790850384,,,,
09/2009,09,2009,4057515768,4057515768,,,,
10/2009,10,2009,6016107147,6016107147,,,,
11/2009,11,2009,5768486910,5768486910,,,,
12/2009,12,2009,5426505977,5426505977,,,,
01/2010,01,2010,5703465285,5703465285,,,,
02/2010,02,2010,5762451418,5762451418,,,,
03/2010,03,2010,6661347946,6661347946,,,,
04/2010,04,2010,6618552152,6618552152,,,,
05/2010,05,2010,6410578775,6410578775,,,,
06/2010,06,2010,4898035014,4898035014,,,,
07/2010,07,2010,5296177638,5296177638,,,,
08/2010,08,2010,7381346660,7381346660,,,,
09/2010,09,2010,7546488744,7546488744,,,,
10/2010,10,2010,10172844562,10172844562,,,,
11/2010,11,2010,6948678354,6948678354,,,,
12/2010,12,2010,7001952100,7001952100,,,,
01/2011,01,2011,7568511227,7568511227,,,,
02/2011,02,2011,6906248849,6906248849,,,,
03/2011,03,2011,7326545928,7326545928,,,,
04/2011,04,2011,6835492088,6835492088,,,,
05/2011,05,2011,7009799378,7009799378,,,,
06/2011,06,2011,6536675534,6536675534,,,,
07/2011,07,2011,6571730164,6571730164,,,,
08/2011,08,2011,6514500361,6514500361,,,,
09/2011,09,2011,5837738935,5837738935,,,,
10/2011,10,2011,6974424665,6974424665,,,,
11/2011,11,2011,7507641641,7507641641,,,,
12/2011,12,2011,6396357939,6396357939,,,,
01/2012,01,2012,7808477339,7808477339,,,,
02/2012,02,2012,7530127141,7530127141,,,,
03/2012,03,2012,7358543625,7358543625,,,,
04/2012,04,2012,7220029422,7220029422,,,,
05/2012,05,2012,7784479302,7784479302,,,,
06/2012,06,2012,7524265988,7524265988,,,,
07/2012,07,2012,7819376527,7819376527,,,,
08/2012,08,2012,7885641059,7885641059,,,,
09/2012,09,2012,7913689733,7913689733,,,,
10/2012,10,2012,8379960050,8379960050,,,,
11/2012,11,2012,8219987195,8219987195,,,,
12/2012,12,2012,8033826900,8033826900,,,,
01/2013,01,2013,9126210673,9126210673,,,,
02/2013,02,2013,8100597857,8100597857,,,,
03/2013,03,2013,8701419671,8701419671,,,,
04/2013,04,2013,8049296729,8049296729,,,,
05/2013,05,2013,8089099883,8089099883,,,,
06/2013,06,2013,7759959725,7759959725,,,,
07/2013,07,2013,8237301982,8237301982,,,,
08/2013,08,2013,9306122925,9306122925,,,,
09/2013,09,2013,9985326806,9985326806,,,,
10/2013,10,2013,10775158269,10775158269,,,,
11/2013,11,2013,10414877805,10414877805,,,,
12/2013,12,2013,7102459747,7102459747,,,,
01/2014,01,2014,7026531269,7026531269,,,,
02/2014,02,2014,6718243109,6718243109,,,,
03/2014,03,2014,7464128273,7464128273,,,,
04/2014,04,2014,7216245221,7216245221,,,,
05/2014,05,2014,7543277646,7543277646,,,,
06/2014,06,2014,6577352648,6577352648,,,,
07/2014,07,2014,6761059566,6761059566,,,,
08/2014,08,2014,6687313714,6687313714,,,,
09/2014,09,2014,7564600999,7564600999,,,,
10/2014,10,2014,9669079813,6577533128,3091546685,,,
11/2014,11,2014,9181027274,6153537606,3027489668,,,
12/2014,12,2014,9109282269,5830332248,3278950021,,,
01/2015,01,2015,9589069146,6103767055,3485302091,,,
02/2015,02,2015,8694244918,5602710439,3091534479,,,
03/2015,03,2015,9677435301,6346602713,3330832588,,,
04/2015,04,2015,9421035574,6198945657,3222089917,,,
05/2015,05,2015,9657871297,6323801814,3334069483,,,
06/2015,06,2015,8203576103,5165413640,3038162463,,,
07/2015,07,2015,8483698717,5229226022,3254472695,7665421980,4376666686,3288755294
08/2015,08,2015,8304022031,5035534449,3268487582,7634815221,4332482183,3302333038
09/2015,09,2015,8582061182,5409631355,3172429827,7655695037,4485491704,3170203333
10/2015,10,2015,8781786976,5535704471,3246082505,7746031887,4477532755,3268499132
11/2015,11,2015,8515190628,5296956116,3218234512,7524321290,4287720220,3236601070
12/2015,12,2015,8651858036,5264446173,3387411863,7476287344,4100012037,3376275307
01/2016,01,2016,9309261244,5569632502,3739628742,8154016303,4436179457,3717836846
02/2016,02,2016,8680940753,5347709361,3333231392,7585859457,4250997185,3334862272
03/2016,03,2016,8827529692,5407676056,3419853636,7673274617,4286590426,3386684191
04/2016,04,2016,8873620523,5572235399,3301385124,7408147859,4149383857,3258764002
05/2016,05,2016,8748968139,5330532334,3418435805,7586811330,4191778094,3395033236
06/2016,06,2016,8347710510,4975092447,3372618063,7243630656,3888839711,3354790945
07/2016,07,2016,8864627560,5363966439,3500661121,7834439589,4337865827,3496573762
08/2016,08,2016,,,,8210865519,4695046216,3515819303
09/2016,09,2016,,,,7528292279,4135006498,3393285781
10/2016,10,2016,,,,7871021581,4361737690,3509283891
11/2016,11,2016,,,,7983113161,4392068236,3591044925
12/2016,12,2016,,,,7986152433,4209608578,3776543855
01/2017,01,2017,,,,8753941940,4521980398,4231961542
02/2017,02,2017,,,,7738463562,4026702163,3711761399
03/2017,03,2017,,,,8223465891,4319971902,3903493989
04/2017,04,2017,,,,7591080111,3951456992,3639623119
05/2017,05,2017,,,,7874558299,4187870579,3686687720
06/2017,06,2017,,,,7123934190,3604550997,3519383193
07/2017,07,2017,,,,7290503797,3565444544,3725059253
08/2017,08,2017,,,,7196978615,3575572313,3621406302
09/2017,09,2017,,,,7079052261,3547447892,3531604369
